Sr.No,Sample ID,Unnamed: 2,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR_Result
200,SSBS/W/2021/200,S/200,12/6/2021,Shivajinagar Vaidhawadi,Genepath,32.13,35.9,34.28,Positive
201,SSBS/W/2021/201,S/201,12/6/2021,Shivajinagar Chaturshringi,Genepath,35.6,37.1,36.2,Positive
202,SSBS/W/2021/202,S/202,12/6/2021,Sanjeevan hospital Kothrud,Genepath,0,0,0,Negative
203,SSBS/W/2021/203,S/203,12/6/2021,Karve road Kothrud,Genepath,0,0,0,Negative
204,SSBS/W/2021/204,S/204,12/6/2021,Warje Mumbai/Bangalore Highway,Genepath,34.41,36.3,36,Positive
205,SSBS/W/2021/205,S/205,12/6/2021,Kothrud Bus depot,Genepath,0,0,37.8,Negative
206,SSBS/W/2021/206,S/206,12/7/2021,"Baner, Mahalunge Bridge",Genepath,0,0,0,Negative
207,SSBS/W/2021/207,S/207,12/7/2021,Baner/Balewadi,Genepath,36.3,0,37.5,Negative
208,SSBS/W/2021/208,S/208,12/7/2021,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
209,SSBS/W/2021/209,S/209,12/7/2021,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
210,SSBS/W/2021/210,S/210,12/7/2021,Jai bhavani nagar pashan,Genepath,0,0,0,Negative
211,SSBS/W/2021/211,S/211,12/7/2021,Someshwarwadi,Genepath,0,0,0,Negative
212,SSBS/W/2021/212,S/212,12/8/2021,"Vishrantwadi, shantinagar",Genepath,35.48,0,38.2,Negative
213,SSBS/W/2021/213,S/213,12/8/2021,RTO office Yerwada,Genepath,35.27,0,36.7,Positive
214,SSBS/W/2021/214,S/214,12/8/2021,Yerwada Old bund garden,Genepath,0,0,0,Negative
215,SSBS/W/2021/215,S/215,12/8/2021,Shivajinagar Juna bazaar,Genepath,32.31,35,34.46,Positive
216,SSBS/W/2021/216,S/216,12/8/2021,Dattawadi under rajaram bridge,Genepath,36.7,0,0,Negative
217,SSBS/W/2021/217,S/217,12/8/2021,"Vitthalwadi hingne, off sinhagad road",Genepath,0,0,0,Negative
218,SSBS/W/2021/218,S/218,12/9/2021,"Chinchwad, Aditya birla hospital",Genepath,0,14.9,0,Negative
219,SSBS/W/2021/219,S/219,12/9/2021,"Shastrinagar, pimpri",Genepath,37.24,36.72,35.26,Positive
220,SSBS/W/2021/220,S/220,12/9/2021,kasarwadi pimple gurav road,Genepath,38.67,15.71,16.71,Positive
